discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/gloria-kotnik,Gloria KOTNIK,Slovenia
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,SILVER,Athlete,,https://olympics.com/en/athletes/roisland,Mons ROISLAND,Norway
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,GOLD,Athlete,,https://olympics.com/en/athletes/yiming-su,Yiming SU,People's Republic of China
Snowboard,beijing-2022,Men's Snowboard Big Air,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/parrot,Max PARROT,Canada
Ski Jumping,beijing-2022,Men's Team,Men,GOLD,GameTeam,Austria,,UNDEFINED,Austria
Ski Jumping,beijing-2022,Men's Team,Men,SILVER,GameTeam,Slovenia,,UNDEFINED,Slovenia
Ski Jumping,beijing-2022,Men's Team,Men,BRONZE,GameTeam,Germany,,UNDEFINED,Germany
Ski Jumping,beijing-2022,Men's LH Individual,Men,GOLD,Athlete,,https://olympics.com/en/athletes/marius-lindvik,Marius LINDVIK,Norway
Ski Jumping,beijing-2022,Men's LH Individual,Men,SILVER,Athlete,,https://olympics.com/en/athletes/kobayashi,Ryoyu KOBAYASHI,Japan
Ski Jumping,beijing-2022,Men's LH Individual,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/geiger,Karl GEIGER,Germany
Ski Jumping,beijing-2022,Mixed Team,Mixed,GOLD,GameTeam,Slovenia,,UNDEFINED,Slovenia
Ski Jumping,beijing-2022,Mixed Team,Mixed,SILVER,GameTeam,ROC,,UNDEFINED,ROC
Ski Jumping,beijing-2022,Mixed Team,Mixed,BRONZE,GameTeam,Canada,,UNDEFINED,Canada
Ski Jumping,beijing-2022,Women's NH Individual,Women,SILVER,Athlete,,https://olympics.com/en/athletes/katharina-althaus,Katharina ALTHAUS,Germany
Ski Jumping,beijing-2022,Women's NH Individual,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ursa-bogataj,Ursa BOGATAJ,Slovenia
Ski Jumping,beijing-2022,Women's NH Individual,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/kriznar,Nika KRIZNAR,Slovenia
Ski Jumping,beijing-2022,Men's NH Individual,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/dawid-kubacki,Dawid KUBACKI,Poland
Ski Jumping,beijing-2022,Men's NH Individual,Men,SILVER,Athlete,,https://olympics.com/en/athletes/manuel-fettner,Manuel FETTNER,Austria
Ski Jumping,beijing-2022,Men's NH Individual,Men,GOLD,Athlete,,https://olympics.com/en/athletes/kobayashi,Ryoyu KOBAYASHI,Japan
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,ROC,https://olympics.com/en/athletes/mark-kondratiuk,Mark KONDRATIUK,ROC
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,ROC,https://olympics.com/en/athletes/kamila-valieva,Kamila VALIEVA,ROC
Figure skating,beijing-2022,Team Event,Mixed,SILVER,GameTeam,United States of America,,UNDEFINED,United States of America
Figure skating,beijing-2022,Team Event,Mixed,BRONZE,GameTeam,Japan,,UNDEFINED,Japan
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,SUI Wenjing / HAN Cong,https://olympics.com/en/athletes/wenjing-sui,Wenjing SUI,People's Republic of China
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,SUI Wenjing / HAN Cong,https://olympics.com/en/athletes/cong-han,Cong HAN,People's Republic of China
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,TARASOVA Evgenia / MOROZOV Vladimir,https://olympics.com/en/athletes/tarasova,Evgenia TARASOVA,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,TARASOVA Evgenia / MOROZOV Vladimir,https://olympics.com/en/athletes/morozov,Vladimir MOROZOV,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,MISHINA Anastasia / GALLIAMOV Aleksandr,https://olympics.com/en/athletes/anastasia-mishina,Anastasia MISHINA,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,MISHINA Anastasia / GALLIAMOV Aleksandr,https://olympics.com/en/athletes/aleksandr-galliamov,Aleksandr GALLIAMOV,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,https://olympics.com/en/athletes/gabriella-papadakis,Gabriella PAPADAKIS,France
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,https://olympics.com/en/athletes/guillaume-cizeron,Guillaume CIZERON,France
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,SINITSINA Victoria / KATSALAPOV Nikita,https://olympics.com/en/athletes/victoria-sinitsina,Victoria SINITSINA,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,SINITSINA Victoria / KATSALAPOV Nikita,https://olympics.com/en/athletes/nikita-katsalapov,Nikita KATSALAPOV,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,HUBBELL Madison / DONOHUE Zachary,https://olympics.com/en/athletes/madison-hubbell,Madison HUBBELL,United States of America
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,HUBBELL Madison / DONOHUE Zachary,https://olympics.com/en/athletes/donohue,Zachary DONOHUE,United States of America
Figure skating,beijing-2022,Women Single Skating,Women,GOLD,Athlete,,https://olympics.com/en/athletes/anna-shcherbakova,Anna SHCHERBAKOVA,ROC
Figure skating,beijing-2022,Women Single Skating,Women,SILVER,Athlete,,https://olympics.com/en/athletes/alexandra-trusova,Alexandra Trusova,ROC
Figure skating,beijing-2022,Women Single Skating,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/kaori-sakamoto,Kaori SAKAMOTO,Japan
Figure skating,beijing-2022,Men Single Skating,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/shoma-uno,Shoma UNO,Japan
Figure skating,beijing-2022,Men Single Skating,Men,GOLD,Athlete,,https://olympics.com/en/athletes/chen,Nathan CHEN,United States of America
Figure skating,beijing-2022,Men Single Skating,Men,SILVER,Athlete,,https://olympics.com/en/athletes/yuma-kagiyama,Yuma KAGIYAMA,Japan
Luge,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,Germany,,UNDEFINED,Germany
Luge,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,Austria,,UNDEFINED,Austria
Luge,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,Latvia,,UNDEFINED,Latvia
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,WENDL Tobias / ARLT Tobias,https://olympics.com/en/athletes/tobias-wendl,Tobias WENDL,Germany
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,WENDL Tobias / ARLT Tobias,https://olympics.com/en/athletes/tobias-arlt,Tobias ARLT,Germany
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,EGGERT Toni / BENECKEN Sascha,https://olympics.com/en/athletes/toni-eggert,Toni EGGERT,Germany
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,EGGERT Toni / BENECKEN Sascha,https://olympics.com/en/athletes/sascha-benecken,Sascha BENECKEN,Germany
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,STEU Thomas / KOLLER Lorenz,https://olympics.com/en/athletes/thomas-steu,Thomas STEU,Austria
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,STEU Thomas / KOLLER Lorenz,https://olympics.com/en/athletes/lorenz-koller,Lorenz KOLLER,Austria
Luge,beijing-2022,Men's Singles,Men,SILVER,Athlete,,https://olympics.com/en/athletes/wolfgang-kindl,Wolfgang KINDL,Austria
Luge,beijing-2022,Men's Singles,Men,GOLD,Athlete,,https://olympics.com/en/athletes/johannes-ludwig,Johannes LUDWIG,Germany
Luge,beijing-2022,Men's Singles,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/dominik-fischnaller,Dominik FISCHNALLER,Italy
Luge,beijing-2022,Women's Singles,Women,SILVER,Athlete,,https://olympics.com/en/athletes/anna-berreiter,Anna BERREITER,Germany
Luge,beijing-2022,Women's Singles,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/tatyana-ivanova,Tatyana IVANOVA,ROC
Luge,beijing-2022,Women's Singles,Women,GOLD,Athlete,,https://olympics.com/en/athletes/natalie-geisenberger,Natalie GEISENBERGER,Germany
Ice Hockey,beijing-2022,Men,Men,GOLD,GameTeam,Finland,,UNDEFINED,Finland
Ice Hockey,beijing-2022,Men,Men,SILVER,GameTeam,ROC,,UNDEFINED,ROC
Ice Hockey,beijing-2022,Men,Men,BRONZE,GameTeam,Slovakia,,UNDEFINED,Slovakia
Ice Hockey,beijing-2022,Women,Women,GOLD,GameTeam,Canada,,UNDEFINED,Canada
Ice Hockey,beijing-2022,Women,Women,SILVER,GameTeam,United States,,UNDEFINED,United States of America
Ice Hockey,beijing-2022,Women,Women,BRONZE,GameTeam,Finland,,UNDEFINED,Finland
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,GOLD,Athlete,,https://olympics.com/en/athletes/quentin-fillon-maillet,Quentin FILLON MAILLET,France
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,SILVER,Athlete,,https://olympics.com/en/athletes/tarjei-boe,Tarjei BOE,Norway
Biathlon,beijing-2022,Men's 12.5km Pursuit,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/eduard-latypov,Eduard LATYPOV,ROC
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,GOLD,GameTeam,Norway,,UNDEFINED,Norway
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,SILVER,GameTeam,France,,UNDEFINED,France
Biathlon,beijing-2022,Mixed Relay 4x6km (W+M),Mixed,BRONZE,GameTeam,ROC,,UNDEFINED,ROC
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,SILVER,Athlete,,https://olympics.com/en/athletes/tiril-eckhoff,Tiril ECKHOFF,Norway
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,GOLD,Athlete,,https://olympics.com/en/athletes/braisaz,Justine BRAISAZ,France
Biathlon,beijing-2022,Women's 12.5km Mass Start,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/marte-olsbu-roeiseland,Marte Olsbu ROEISELAND,Norway
Biathlon,beijing-2022,Women's 10km Pursuit,Women,SILVER,Athlete,,https://olympics.com/en/athletes/elvira-oeberg,Elvira OEBERG,Sweden
